date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,outcome,home_advantage,scoreline,home_form,away_form,home_h2h,away_h2h,home_goals_scored,home_goals_conceded,away_goals_scored,away_goals_conceded,home_elo,away_elo,elo_diff,home_weighted_form,away_weighted_form,home_days_rest,away_days_rest,home_goal_diff,away_goal_diff,elo_closeness,form_closeness,combined_attack,combined_defence,expected_goals,home_under25_rate,away_under25_rate,home_clean_sheet_rate,away_clean_sheet_rate,combined_under25,combined_clean_sheets,draw_pressure_index,h2h_draw_rate
2018-03-23,Finland,North Macedonia,0.0,0.0,Friendly,Belek,Turkey,True,2018,Draw,0,0.0-0.0,0.4,0.5,0.667,0.33299999999999996,1.3,1.0,1.6,0.8,1649.6074299554289,1608.8767720555393,40.73065789988959,0.395,0.428,71,90,0.30000000000000004,0.8,0.023963197570452052,0.9090909090909091,2.9000000000000004,1.8,2.35,0.6,0.5,0.3,0.6,0.55,0.44999999999999996,0.248,0.0
2018-03-23,Germany,Spain,1.0,1.0,Friendly,Düsseldorf,Germany,False,2018,Draw,1,1.0-1.0,0.7,0.8,0.4,0.6,3.1,0.7,3.3,0.7,2022.864196874014,2074.4472131738335,-51.58301629981952,0.656,0.78,90,90,2.4000000000000004,2.5999999999999996,0.019017547306494707,0.9090909090909091,6.4,1.4,3.9000000000000004,0.3,0.2,0.4,0.6,0.25,0.5,0.125,0.0
2018-03-23,Gambia,Central African Republic,1.0,1.0,Friendly,Bakau,Gambia,False,2018,Draw,1,1.0-1.0,0.4,0.0,0.5,0.5,0.9,0.7,0.6,2.4,1446.9028011152793,1263.9906668896806,182.91213422559872,0.389,0.0,90,90,0.20000000000000007,-1.7999999999999998,0.005437379127868389,0.7142857142857143,1.5,3.0999999999999996,2.3,0.8,0.2,0.5,0.1,0.5,0.3,0.15,0.25
2018-03-23,Senegal,Uzbekistan,1.0,1.0,Friendly,Casablanca,Morocco,True,2018,Draw,0,1.0-1.0,0.4,0.3,0.5,0.5,1.2,0.5,0.7,0.9,1804.8610066592707,1674.4711163536945,130.38989030557627,0.394,0.283,90,90,0.7,-0.20000000000000007,0.007610935648658193,0.9090909090909091,1.9,1.4,1.65,0.8,0.8,0.6,0.4,0.8,0.5,0.4,0.25
2018-03-23,Guadeloupe,Trinidad and Tobago,0.0,1.0,Friendly,Les Abymes,Guadeloupe,False,2018,Away win,1,0.0-1.0,0.3,0.1,0.0,1.0,1.8,1.6,1.0,2.1,1450.8396424357886,1450.6097838554695,0.22985858031915996,0.297,0.109,90,90,0.19999999999999996,-1.1,0.8131016167244941,0.8333333333333334,2.8,3.7,3.25,0.4,0.2,0.1,0.0,0.30000000000000004,0.05,0.015,1.0
2018-03-23,Hungary,Kazakhstan,2.0,3.0,Friendly,Budapest,Hungary,False,2018,Away win,1,2.0-3.0,0.4,0.0,0.5,0.5,1.2,1.6,0.5,2.7,1589.4089275131155,1329.3024785706255,260.10644894249003,0.359,0.0,90,90,-0.40000000000000013,-2.2,0.0038298556165506847,0.7142857142857143,1.7,4.300000000000001,3.0000000000000004,0.4,0.3,0.3,0.1,0.35,0.2,0.07,0.25
2018-03-23,Russia,Brazil,0.0,3.0,Friendly,Moscow,Russia,False,2018,Away win,1,0.0-3.0,0.3,0.7,0.0,1.0,1.7,1.5,2.1,0.3,1803.2330911024203,2157.961303189834,-354.72821208741357,0.279,0.7,90,90,0.19999999999999996,1.8,0.002811134922732158,0.7142857142857143,3.8,1.8,2.8,0.5,0.5,0.2,0.7,0.5,0.44999999999999996,0.225,0.5
2018-03-23,Austria,Slovenia,3.0,0.0,Friendly,Klagenfurt,Austria,False,2018,Home win,1,3.0-0.0,0.4,0.4,0.5,0.5,1.1,0.8,1.1,0.6,1734.7396689837492,1635.3524721026897,99.38719688105948,0.379,0.341,90,90,0.30000000000000004,0.5000000000000001,0.009961429655066648,1.0,2.2,1.4,1.8,0.8,0.8,0.3,0.5,0.8,0.4,0.32,0.25
2018-03-23,Italy,Argentina,0.0,2.0,Friendly,Manchester,England,True,2018,Away win,0,0.0-2.0,0.6,0.5,0.0,1.0,2.1,0.6,1.7,0.8,1887.4916766107845,1931.768111120682,-44.276434509897626,0.55,0.502,90,90,1.5,0.8999999999999999,0.02208654481795371,0.9090909090909091,3.8,1.4,2.5999999999999996,0.5,0.6,0.6,0.6,0.55,0.6,0.33,0.0
2018-03-23,Scotland,Costa Rica,0.0,1.0,Friendly,Glasgow,Scotland,False,2018,Away win,1,0.0-1.0,0.4,0.2,0.5,0.5,1.2,1.2,0.8,1.4,1725.9411154060992,1773.1472478499945,-47.206132443895285,0.362,0.191,90,90,0.0,-0.5999999999999999,0.02074424869416459,0.8333333333333334,2.0,2.5999999999999996,2.3,0.5,0.7,0.4,0.2,0.6,0.30000000000000004,0.18,0.25
